6985	32
0	1	
raw
Accepted	Cluster	Timestamp	Height	Width	Slope	SlopeD	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	0	0	1447.000000	1.#INF00	0.000000	0.000000	66.116844	52.116844	-58.883156	-214.883156	-346.883156	-461.883156	-587.883156	-693.883156	-714.883156	-618.883156	-437.883156	-235.883156	-61.883156	77.116844	205.116844	343.116844	496.116844	646.116844	732.116844	686.116844	526.116844	375.116844	340.116844	388.116844	404.116844	357.116844	319.116844	339.116844	399.116844	463.116844	515.116844	538.116844
0	0	7	1782.000000	1.#INF00	0.000000	0.000000	-197.883156	-206.883156	-187.883156	-121.883156	-42.883156	-34.883156	-188.883156	-510.883156	-889.883156	-1161.883156	-1250.883156	-1209.883156	-1127.883156	-1036.883156	-910.883156	-735.883156	-527.883156	-313.883156	-121.883156	27.116844	117.116844	146.116844	145.116844	169.116844	247.116844	363.116844	475.116844	531.116844	507.116844	444.116844	408.116844	424.116844
0	0	24	2229.000000	1.#INF00	0.000000	0.000000	-78.883156	-168.883156	-281.883156	-349.883156	-321.883156	-232.883156	-223.883156	-440.883156	-882.883156	-1375.883156	-1683.883156	-1630.883156	-1203.883156	-581.883156	-10.883156	366.116844	539.116844	545.116844	453.116844	355.116844	305.116844	273.116844	198.116844	76.116844	-34.883156	-83.883156	-66.883156	-26.883156	-15.883156	-79.883156	-199.883156	-295.883156
0	0	34	2740.000000	1.#INF00	0.000000	0.000000	-253.883156	-311.883156	-319.883156	-189.883156	84.116844	345.116844	336.116844	-110.883156	-897.883156	-1667.883156	-2014.883156	-1777.883156	-1143.883156	-484.883156	-49.883156	182.116844	371.116844	583.116844	725.116844	694.116844	527.116844	376.116844	345.116844	403.116844	468.116844	489.116844	468.116844	425.116844	363.116844	240.116844	23.116844	-207.883156
0	0	40	1716.000000	1.#INF00	0.000000	0.000000	-69.883156	23.116844	25.116844	-83.883156	-233.883156	-364.883156	-488.883156	-648.883156	-838.883156	-984.883156	-1010.883156	-914.883156	-778.883156	-689.883156	-642.883156	-547.883156	-348.883156	-76.883156	197.116844	403.116844	500.116844	503.116844	482.116844	501.116844	568.116844	647.116844	698.116844	705.116844	663.116844	573.116844	451.116844	338.116844
0	0	42	2297.000000	1.#INF00	0.000000	0.000000	-185.883156	-261.883156	-360.883156	-422.883156	-387.883156	-287.883156	-251.883156	-412.883156	-777.883156	-1172.883156	-1331.883156	-1108.883156	-598.883156	-53.883156	340.116844	571.116844	734.116844	880.116844	965.116844	943.116844	843.116844	728.116844	648.116844	618.116844	625.116844	628.116844	565.116844	378.116844	59.116844	-325.883156	-669.883156	-880.883156
0	0	44	1834.000000	1.#INF00	0.000000	0.000000	-268.883156	-203.883156	-197.883156	-247.883156	-297.883156	-347.883156	-467.883156	-691.883156	-959.883156	-1173.883156	-1279.883156	-1273.883156	-1172.883156	-1005.883156	-808.883156	-608.883156	-413.883156	-255.883156	-159.883156	-85.883156	35.116844	213.116844	368.116844	409.116844	340.116844	275.116844	312.116844	423.116844	519.116844	554.116844	536.116844	476.116844
0	0	59	1081.000000	1.#INF00	0.000000	0.000000	-122.883156	-147.883156	-166.883156	-154.883156	-133.883156	-174.883156	-333.883156	-580.883156	-780.883156	-777.883156	-543.883156	-206.883156	59.116844	178.116844	212.116844	247.116844	294.116844	300.116844	241.116844	163.116844	129.116844	161.116844	221.116844	258.116844	241.116844	171.116844	101.116844	103.116844	184.116844	263.116844	260.116844	161.116844
1	1	63	1887.000000	1.#INF00	0.000000	0.000000	-376.883156	-316.883156	-219.883156	-92.883156	17.116844	14.116844	-190.883156	-597.883156	-1053.883156	-1313.883156	-1217.883156	-829.883156	-363.883156	-1.883156	223.116844	373.116844	495.116844	573.116844	571.116844	498.116844	422.116844	403.116844	430.116844	436.116844	368.116844	238.116844	115.116844	54.116844	48.116844	51.116844	15.116844	-81.883156
1	1	208	1737.000000	1.#INF00	0.000000	0.000000	-180.883156	-93.883156	56.116844	173.116844	201.116844	131.116844	-56.883156	-395.883156	-813.883156	-1109.883156	-1092.883156	-766.883156	-318.883156	55.116844	277.116844	382.116844	446.116844	523.116844	600.116844	627.116844	569.116844	439.116844	275.116844	106.116844	-51.883156	-183.883156	-281.883156	-358.883156	-425.883156	-480.883156	-525.883156	-589.883156
