4644	75
-3	-2	
raw
Accepted	Cluster	Timestamp	Height	Width	Slope	SlopeD	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
1	-2	2874049	910.000000	12.000000	75.833333	22.526482	-2.282037	-0.282037	-9.282037	-15.282037	-19.282037	-26.282037	-44.282037	-88.282037	-143.282037	-206.282037	-292.282037	-379.282037	-473.282037	-544.282037	-580.282037	-600.282037	-563.282037	-509.282037	-426.282037	-311.282037	-192.282037	-70.282037	38.717963	131.717963	218.717963	270.717963	294.717963	309.717963	290.717963	276.717963	252.717963	216.717963	183.717963	153.717963	137.717963	121.717963	97.717963	86.717963	92.717963	90.717963	92.717963	88.717963	87.717963	94.717963	87.717963	84.717963	72.717963	61.717963	57.717963	44.717963	26.717963	2.717963	-14.282037	-21.282037	-28.282037	-45.282037	-59.282037	-53.282037	-52.282037	-52.282037	-63.282037	-65.282037	-57.282037	-55.282037	-54.282037	-57.282037	-55.282037	-45.282037	-34.282037	-38.282037	-36.282037	-38.282037	-31.282037	-30.282037	-38.282037
1	-2	2874060	457.000000	10.000000	45.700000	13.776043	-80.282037	-58.282037	-23.282037	6.717963	44.717963	79.717963	96.717963	120.717963	131.717963	125.717963	99.717963	43.717963	-14.282037	-80.282037	-126.282037	-165.282037	-184.282037	-173.282037	-131.282037	-76.282037	-12.282037	57.717963	125.717963	190.717963	235.717963	266.717963	272.717963	272.717963	263.717963	244.717963	209.717963	173.717963	150.717963	120.717963	90.717963	61.717963	42.717963	32.717963	18.717963	9.717963	-0.282037	-6.282037	-7.282037	-4.282037	-12.282037	-16.282037	-16.282037	-16.282037	-9.282037	-26.282037	-24.282037	-21.282037	-24.282037	-24.282037	-44.282037	-34.282037	-31.282037	-37.282037	-35.282037	-42.282037	-48.282037	-43.282037	-49.282037	-55.282037	-53.282037	-64.282037	-55.282037	-65.282037	-76.282037	-77.282037	-87.282037	-88.282037	-86.282037	-90.282037	-86.282037
1	-2	2874091	987.000000	12.000000	82.250000	20.453252	23.717963	4.717963	-8.282037	-19.282037	-36.282037	-49.282037	-59.282037	-80.282037	-120.282037	-182.282037	-246.282037	-325.282037	-410.282037	-493.282037	-561.282037	-597.282037	-602.282037	-573.282037	-514.282037	-425.282037	-308.282037	-182.282037	-53.282037	64.717963	173.717963	264.717963	329.717963	355.717963	384.717963	381.717963	364.717963	335.717963	302.717963	280.717963	228.717963	194.717963	161.717963	133.717963	100.717963	63.717963	49.717963	20.717963	2.717963	-14.282037	-31.282037	-40.282037	-56.282037	-69.282037	-75.282037	-89.282037	-99.282037	-101.282037	-112.282037	-108.282037	-112.282037	-111.282037	-100.282037	-100.282037	-88.282037	-73.282037	-68.282037	-49.282037	-44.282037	-40.282037	-37.282037	-53.282037	-64.282037	-79.282037	-120.282037	-121.282037	-141.282037	-156.282037	-155.282037	-166.282037	-146.282037
1	-2	2874095	738.000000	14.000000	52.714286	19.244641	-14.282037	-3.282037	5.717963	21.717963	35.717963	43.717963	35.717963	10.717963	-29.282037	-88.282037	-168.282037	-259.282037	-337.282037	-401.282037	-430.282037	-438.282037	-419.282037	-358.282037	-293.282037	-193.282037	-96.282037	-9.282037	82.717963	142.717963	220.717963	263.717963	273.717963	289.717963	297.717963	299.717963	273.717963	244.717963	222.717963	209.717963	175.717963	149.717963	136.717963	119.717963	116.717963	104.717963	92.717963	85.717963	71.717963	69.717963	63.717963	43.717963	39.717963	28.717963	29.717963	29.717963	14.717963	19.717963	19.717963	18.717963	17.717963	4.717963	-0.282037	3.717963	-0.282037	-21.282037	-33.282037	-51.282037	-57.282037	-80.282037	-121.282037	-120.282037	-140.282037	-149.282037	-163.282037	-178.282037	-169.282037	-187.282037	-186.282037	-183.282037	-181.282037
1	-2	2874142	860.000000	38.000000	22.631579	16.016411	3.717963	-2.282037	-16.282037	-28.282037	-49.282037	-52.282037	-50.282037	-59.282037	-54.282037	-79.282037	-97.282037	-131.282037	-189.282037	-246.282037	-304.282037	-327.282037	-335.282037	-318.282037	-276.282037	-204.282037	-117.282037	-24.282037	66.717963	141.717963	212.717963	265.717963	301.717963	313.717963	308.717963	302.717963	288.717963	271.717963	232.717963	203.717963	181.717963	160.717963	132.717963	99.717963	89.717963	72.717963	61.717963	46.717963	31.717963	23.717963	15.717963	16.717963	8.717963	-6.282037	-14.282037	-10.282037	-29.282037	-46.282037	-69.282037	-80.282037	-89.282037	-117.282037	-130.282037	-161.282037	-193.282037	-231.282037	-294.282037	-369.282037	-435.282037	-493.282037	-526.282037	-546.282037	-538.282037	-478.282037	-396.282037	-294.282037	-177.282037	-71.282037	54.717963	156.717963	243.717963
1	-2	2874143	938.000000	15.000000	62.533333	19.692666	-24.282037	-21.282037	-48.282037	-64.282037	-87.282037	-100.282037	-111.282037	-151.282037	-164.282037	-207.282037	-257.282037	-309.282037	-381.282037	-441.282037	-507.282037	-541.282037	-540.282037	-515.282037	-464.282037	-380.282037	-266.282037	-147.282037	-29.282037	70.717963	176.717963	266.717963	325.717963	369.717963	381.717963	392.717963	396.717963	367.717963	337.717963	299.717963	265.717963	240.717963	198.717963	167.717963	146.717963	129.717963	121.717963	104.717963	91.717963	73.717963	64.717963	50.717963	29.717963	10.717963	-16.282037	-9.282037	-20.282037	-32.282037	-46.282037	-49.282037	-40.282037	-57.282037	-62.282037	-66.282037	-70.282037	-65.282037	-74.282037	-75.282037	-78.282037	-81.282037	-79.282037	-86.282037	-98.282037	-100.282037	-104.282037	-107.282037	-116.282037	-130.282037	-137.282037	-144.282037	-157.282037
1	-2	2874164	1079.000000	17.000000	63.470588	14.030497	-34.282037	-25.282037	-22.282037	-34.282037	-61.282037	-108.282037	-170.282037	-250.282037	-346.282037	-436.282037	-525.282037	-564.282037	-585.282037	-592.282037	-577.282037	-545.282037	-491.282037	-458.282037	-403.282037	-334.282037	-247.282037	-153.282037	-54.282037	62.717963	164.717963	265.717963	349.717963	411.717963	457.717963	478.717963	486.717963	480.717963	449.717963	414.717963	370.717963	322.717963	280.717963	228.717963	183.717963	150.717963	112.717963	89.717963	61.717963	34.717963	18.717963	-2.282037	-25.282037	-42.282037	-66.282037	-94.282037	-99.282037	-109.282037	-100.282037	-103.282037	-92.282037	-70.282037	-47.282037	-12.282037	-12.282037	1.717963	24.717963	44.717963	53.717963	55.717963	63.717963	67.717963	63.717963	47.717963	26.717963	-7.282037	-40.282037	-74.282037	-122.282037	-161.282037	-190.282037
1	-2	2874173	672.000000	13.000000	51.692308	14.212555	-20.282037	-24.282037	-31.282037	-35.282037	-49.282037	-49.282037	-65.282037	-96.282037	-132.282037	-197.282037	-263.282037	-323.282037	-368.282037	-388.282037	-391.282037	-369.282037	-313.282037	-239.282037	-161.282037	-76.282037	2.717963	85.717963	150.717963	189.717963	237.717963	262.717963	275.717963	280.717963	275.717963	263.717963	245.717963	222.717963	203.717963	182.717963	157.717963	147.717963	121.717963	109.717963	96.717963	80.717963	62.717963	42.717963	30.717963	10.717963	-6.282037	-22.282037	-29.282037	-46.282037	-50.282037	-55.282037	-54.282037	-43.282037	-45.282037	-30.282037	-19.282037	-19.282037	-7.282037	-4.282037	4.717963	1.717963	-10.282037	-12.282037	-22.282037	-38.282037	-56.282037	-64.282037	-75.282037	-78.282037	-87.282037	-83.282037	-83.282037	-86.282037	-77.282037	-75.282037	-74.282037
1	-2	2874179	1485.000000	13.000000	114.230769	37.421116	-31.282037	-35.282037	-18.282037	-19.282037	-20.282037	-10.282037	-5.282037	-8.282037	-19.282037	-48.282037	-97.282037	-184.282037	-307.282037	-447.282037	-604.282037	-736.282037	-830.282037	-883.282037	-871.282037	-800.282037	-661.282037	-488.282037	-298.282037	-96.282037	99.717963	268.717963	401.717963	495.717963	558.717963	594.717963	601.717963	588.717963	560.717963	522.717963	489.717963	454.717963	417.717963	376.717963	342.717963	319.717963	304.717963	278.717963	247.717963	247.717963	235.717963	227.717963	206.717963	186.717963	177.717963	161.717963	142.717963	118.717963	92.717963	78.717963	64.717963	29.717963	3.717963	-22.282037	-44.282037	-61.282037	-92.282037	-100.282037	-111.282037	-116.282037	-110.282037	-115.282037	-118.282037	-109.282037	-103.282037	-90.282037	-91.282037	-98.282037	-82.282037	-75.282037	-72.282037
1	-2	2874190	692.000000	22.000000	31.454545	6.564659	-56.282037	-122.282037	-199.282037	-264.282037	-315.282037	-338.282037	-342.282037	-335.282037	-306.282037	-273.282037	-239.282037	-216.282037	-220.282037	-231.282037	-237.282037	-244.282037	-242.282037	-234.282037	-201.282037	-142.282037	-91.282037	-7.282037	65.717963	138.717963	216.717963	276.717963	331.717963	343.717963	349.717963	347.717963	333.717963	290.717963	250.717963	224.717963	193.717963	173.717963	144.717963	131.717963	124.717963	121.717963	120.717963	115.717963	107.717963	111.717963	107.717963	98.717963	90.717963	71.717963	70.717963	66.717963	51.717963	46.717963	44.717963	51.717963	55.717963	53.717963	52.717963	52.717963	52.717963	50.717963	39.717963	16.717963	25.717963	19.717963	13.717963	1.717963	-12.282037	-6.282037	-37.282037	-55.282037	-71.282037	-92.282037	-101.282037	-115.282037	-121.282037
